word	k	p	sqrt_kp	sum	DF	DFtoWF	cluster	pq
the	1.28857792385278	0.00566397049317553	1.28859037184145	4115	18	0.00437424058323208	2	0.00569623379330303
emperor	0.0276737248260626	0.0123267537320039	0.0302949484785517	40	2	0.05	7	0.0124805990023336
s	0.986331916059192	0.0789971617735744	0.989490373983132	207	18	0.0869565217391304	2	0.085772984072122
new	0.27368851562244	0.0948757865655114	0.289666736889203	47	8	0.170212765957447	5	0.104820736377724
clothes	0.608283594968966	0.274077127474438	0.667178539607658	29	10	0.344827586206897	4	0.377556814708007
many	0.993549684902053	0.226712673376116	1.01908763736899	61	14	0.229508196721311	3	0.293180381431992
years	0.333012627916599	0.222055107299219	0.400257268553098	21	7	0.333333333333333	4	0.285438093858181
ago	0.572215818866319	0.631898852497187	0.852482904900804	6	4	0.666666666666667	10	1.71664461462283
there	1.31232265752886	0.0639090401230516	1.31387789496325	346	18	0.0520231213872832	2	0.0682722543666617
was	1.3965365443168	0.0249230768089605	1.39675891955982	984	18	0.0182926829268293	2	0.0255601134804802
an	1.28504382355893	0.172451318782117	1.29656356798139	111	17	0.153153153153153	3	0.208388125914629
who	1.24434938761427	0.11404782625713	1.2495648463085	174	17	0.0977011494252874	2	0.128729100325262
so	1.59639707113647	0.0649085612972974	1.59771609807963	414	18	0.0434782608695652	2	0.0694141327904233
fond	1.67358473733949	0.857650117183976	1.88054502646477	5	4	0.8	9	6.02494431479385
of	0.936890013934383	0.0152148970892688	0.937013549156791	1093	18	0.0164684354986276	2	0.0154499667433008
that	1.39027140467869	0.0347163896788552	1.39070478764532	696	18	0.0258620689655172	2	0.0359649633617059
he	0.979197567352585	0.0206264469564465	0.979414787627422	837	18	0.021505376344086	2	0.0210608576189817
all	1.47995711456377	0.0757611000418007	1.481895004792	325	18	0.0553846153846154	2	0.0819713388445641
his	0.724769363320868	0.0307033193298766	0.725419412358402	412	17	0.0412621359223301	2	0.0316758737981542
money	1.67358473733949	0.857650117183976	1.88054502646477	5	4	0.8	9	6.02494431479385
in.	1.01618993123522	0.0190451401106085	1.01636838484167	943	18	0.0190880169671262	2	0.019414899593602
dress	0.883528109993612	0.569946305131385	1.0514089175396	12	7	0.583333333333333	10	1.32529103210126
did	0.561855726240409	0.0962175437690625	0.57003479967287	95	13	0.136842105263158	3	0.106460955405486
not	1.45423208276651	0.0639776916631901	1.45563872426436	383	18	0.0469973890339426	2	0.0683506056355325
himself	0.41479413634187	0.123482807601333	0.432784217961683	53	11	0.207547169811321	5	0.140878933889946
least	0.747168652312818	0.427645897290359	0.860896049745978	18	9	0.5	8	0.747170143912301
about	0.890387905590566	0.102722756735753	0.896293806278582	140	18	0.128571428571429	2	0.114482739317063
soldiers	0.452735288212549	0.57594866322379	0.732588632086365	6	4	0.666666666666667	10	1.35820504093292
nor	14.4918671255123	0.925490330071254	14.5213892288086	21	12	0.571428571428571	11	12.4210767670331
care	0.886617864947082	0.399386541382128	0.972420098455652	24	11	0.458333333333333	8	0.664964355446169
to	1.12730010655683	0.0179035529392814	1.12744226790151	1114	18	0.0161579892280072	2	0.0182299335191206
go	1.31334634670139	0.209874559282898	1.33000975824543	89	16	0.179775280898876	3	0.265621822140571
either	0.602386454132076	0.436460156807408	0.743886354628288	14	7	0.5	8	0.774497423881786
or	0.806794736542208	0.115694707620031	0.815047858891425	111	16	0.144144144144144	3	0.130831183095893
except	0.827951206948913	0.598445164728503	1.02158691077905	10	6	0.6	10	1.49031990692849
for.	1.44502476197647	0.0606340264290205	1.44629632091289	403	18	0.0446650124069479	2	0.0645478206949753
then	1.02484275961541	0.0725029968002144	1.02740418846778	236	18	0.076271186440678	2	0.0781705995276375
him	0.858241641128101	0.0629393602785047	0.860546383199955	230	16	0.0695652173913043	2	0.0671667954138069
had	1.73886363716471	0.0734241944071949	1.74041312939716	395	18	0.0455696202531646	2	0.0792425120146748
a	1.30693667173996	0.0193070938917725	1.30707927372951	1196	18	0.0150501672240803	2	0.0196871964419429
different	2.75086632127717	0.818227204303609	2.86997583184937	11	7	0.636363636363636	9	4.50137327298562
suit	0.0189452947074842	0.0464247644640053	0.0501416288835115	7	1	0.142857142857143	5	0.048684951888364
each	0.424437857121981	0.142430409805816	0.447698465706274	46	10	0.217391304347826	5	0.166086124594932
hour	14.0382733797854	0.976792119226105	14.0722152602131	6	5	0.833333333333333	11	42.0888115008253
day	0.606197718839613	0.160664225777665	0.627127313845512	57	12	0.210526315789474	3	0.191418298506964
and	1.28694140329978	0.00994057975561057	1.2869797941899	2315	18	0.00777537796976242	2	0.0100403870235958
as	0.931639476647396	0.0400529511974653	0.932500055414186	402	18	0.0447761194029851	2	0.0417241255623719
any	0.942272449984565	0.369029599023721	1.01195860338036	29	11	0.379310344827586	1	0.584860396704399
other	0.64864176854749	0.101816449904786	0.656584140362551	103	15	0.145631067961165	3	0.113358177060794
king	0.285476282431176	0.116421571081947	0.308302919291909	39	8	0.205128205128205	5	0.131761445584979
one	1.29578232602979	0.0679405749029939	1.29756223672289	320	18	0.05625	2	0.0728929648406515
is	0.800565979743918	0.0293342099811621	0.801103229177463	477	17	0.0356394129979036	2	0.0302207106532443
accustomed	31.4359949556921	0.99122093223154	31.4516183652096	5	5	1	12	112.907310704752
